ամեն	every, each	sakayan unit3 vocab
տարի	year	sakayan unit3 vocab
Ամերիկայից	] from America	sakayan unit3 vocab
զբոսաշրջիկ	tourist	sakayan unit3 vocab
գալ	to come	sakayan unit3 vocab
այս	this	sakayan unit3 vocab
ամառ	summer	sakayan unit3 vocab
էլ	also, too	sakayan unit3 vocab
տիկին	Mrs., madam	sakayan unit3 vocab
այստեղ	here	sakayan unit3 vocab
նրան	him/her	sakayan unit3 vocab
ուղեկցել	to accompany	sakayan unit3 vocab
երևանցի	native of	sakayan unit3 vocab
ուսանողուհի	female student	sakayan unit3 vocab
օր	day	sakayan unit3 vocab
նոր	new	sakayan unit3 vocab
վայր	place	sakayan unit3 vocab
այցելել	to visit	sakayan unit3 vocab
այսօր	today	sakayan unit3 vocab
նրան	him/her	sakayan unit3 vocab
տանել	to take	sakayan unit3 vocab
տանում է	he/she is taking	sakayan unit3 vocab
կենտրոնական	central	sakayan unit3 vocab
շուկա	market	sakayan unit3 vocab
ասել	to say	sakayan unit3 vocab
ասում է	says	sakayan unit3 vocab
ինչ	what	sakayan unit3 vocab
հիանալի	wonderful	sakayan unit3 vocab
շենք	building	sakayan unit3 vocab
գեղեցիկ	beautiful	sakayan unit3 vocab
թարմ	fresh	sakayan unit3 vocab
միրգ [միրք]	fruit	sakayan unit3 vocab
բանջարեղեն	vegetables	sakayan unit3 vocab
մանավանդ	especially	sakayan unit3 vocab
դեղձ [դեղց]	peach	sakayan unit3 vocab
թուզ	fig	sakayan unit3 vocab
սեխ	cantaloup	sakayan unit3 vocab
ձմերուկ	watermelon	sakayan unit3 vocab
հապա …	what about ...	sakayan unit3 vocab
ծիրան	apricot	sakayan unit3 vocab
քանի	how many?	sakayan unit3 vocab
տեսակ	variety, sort	sakayan unit3 vocab
ինչպիսի	what a ...!	sakayan unit3 vocab
գույն	color	sakayan unit3 vocab
առատություն	abundance	sakayan unit3 vocab
գեղեցկություն	Œyun] beauty	sakayan unit3 vocab
գիտե՞ք	do you know?	sakayan unit3 vocab
որ	that	sakayan unit3 vocab
հայրենիք	fatherland	sakayan unit3 vocab
նրա	his/her/its	sakayan unit3 vocab
լատիներեն	Latin	sakayan unit3 vocab
անուն	name	sakayan unit3 vocab
այսինքն	i.e., namely	sakayan unit3 vocab
սալոր	plum	sakayan unit3 vocab
հիմա	now	sakayan unit3 vocab
հասկանալ	understand	sakayan unit3 vocab
հասկանում եմ	I understand	sakayan unit3 vocab
ինչու	why	sakayan unit3 vocab
թե ինչու	as to why	sakayan unit3 vocab
այստեղ	here	sakayan unit3 vocab
այսքան	so (much)	sakayan unit3 vocab
համով	tasty, delicious	sakayan unit3 vocab
