A	Բարև՜ ձեզ, տիկի՜ն Պալյան, դո՞ւք եք։	Hello, Mrs. Palian, is that you?	sakayan unit10 dialogue1
B	Բարև՜, տիկի՜ն Սարյան։ Ինչպե՞ս եք։ Ի՞նչ կա-չկա։	Hello, Mrs. Sarian. How are you? What’s new?	sakayan unit10 dialogue1
A	Ուրբաթ երեկո ազա՞տ եք։ Կուզեի ձեզ և ձեր ամուսնուն ընթրիքի հրավիրել։	Are you free on Friday night? I would like to invite you and your husband over for supper.	sakayan unit10 dialogue1
B	Մեծ հաճույքով կգայինք … ,	We would come with great pleasure ...	sakayan unit10 dialogue1
A	Երեկոյան ժամը յոթը հարմա՞ր է։	Does 7 o’clock in the evening suit you?	sakayan unit10 dialogue1
B	Այո՜, բայց մենք մենակ չենք, հյուր ունենք Ֆրանսիայից՝ քույրս է։	Yes, but we are not alone. We have a visitor from France; it’s my	sakayan unit10 dialogue1
A	Ոչի՜նչ, ձեր քրոջն էլ բերեք։ Ուրեմն սպասում ենք ձեզ։	No problem, bring your sister along. So, we’re looking forward to seeing you.	sakayan unit10 dialogue1
B	Շնորհակալ ենք։ Մինչ ուրբաթ [ուրփաթ]։	Many thanks! Till Friday!	sakayan unit10 dialogue1
A	Գոհա՜ր, կուզեի՞ր կիրակի օրը ինձ այցելել։ Հավաքույթ ունեմ։	Gohar, would you like to come over next Sunday? I’m having a party.	sakayan unit10 dialogue1
B	Սիրով։ Ի՞նչ առիթով։	Gladly! What’s the occasion?	sakayan unit10 dialogue1
A	Հորս և մորս ամուսնության -րդ տարեդարձն [տարեդարցն] է։ Նրանց համար անակնկալ կլինի։	It’s my parents’ 50th wedding anniversary. It’ll be a surprise for them.	sakayan unit10 dialogue1
B	Իսկապե՞ս։ Քանի՞ հոգու ես հրավիրել։	Really? How many people have you	sakayan unit10 dialogue1
A	Հիսուն (հոգու [հոքու])։	50 (people).	sakayan unit10 dialogue1
B	Այդքան [այտքան] տեղ ունե՞ս։	Do you have that much room?	sakayan unit10 dialogue1
A	Մեր պարտեզում է լինելու։	It’ll be in our garden.	sakayan unit10 dialogue1
B	Կարո՞ղ եմ քեզ որևէ բանով օգնել [օքնել]։	May I help you with anything?	sakayan unit10 dialogue1
A	Շատ շնորհակալ եմ,	Thank you very much,	sakayan unit10 dialogue1
A	օգնական [օքնական] շատ ունեմ։ Հետդ [հետտ] հայկական երաժշտություն բեր։	I have a lot of help. Bring some Armenian music with you.	sakayan unit10 dialogue1
B	Ամենայն սիրով։ Ուրիշ ի՞նչ կուզեիր, որ բերեմ։	With great pleasure. What else would you like me to bring?	sakayan unit10 dialogue1
A	Մեծ ախորժակ։	A big appetite!	sakayan unit10 dialogue1
B	Անպայման կբերեմ։	I’ll bring that for sure.	sakayan unit10 dialogue1
