page	y0	y1	word	translit	ipa	gloss	note	deviant
29	309	320	ո	o	ʋɔ			regular
29	309	320	ե	e	jɛ			regular
29	320	332	վորակ	vorak	ʋɔɾɑk	style		regular
29	320	332	վոչինչ	vočinč’	ʋɔtʃʰiɲtʃʰ	nothing		regular
29	320	332	յերկիր	yerkir	jɛɾkiɾ	country		regular
29	332	343	յերես	yeres	jɛɾɛs	face		regular
29	343	355	գնալու յեմ	gnalu yem	gənɑlu jɛm	I will go		regular
29	355	366	գնում եմ	gnum em	gənum ɛm	I go		regular
29	401	412	սենյակ	senyak	sɛnjɑk	room	reformed spelling; classical սենեակ pronounced the same	regular
29	401	412	յոթ	yot’	jɔtʰ	seven	reformed spelling; classical եոթ pronounced the same	regular
29	412	424	արյուն	aryun	ɑɾjun	blood	reformed spelling; classical արիւն pronounced the same	regular
29	435	447	խոյ	xoy	χɔj	ram		regular
29	458	470	հարմար	harmar	hɑɾmɑɾ	comfortable	reformed spelling; classical յարմար pronounced the same	regular
29	470	481	ծառա	caroa	tsɑrɑ	servant, slave	reformed spelling; classical ծառայ pronounced the same	regular
31	112	124	ա	a	ɑ			regular
31	267	280	Երևան	Erewan	jɛɾɛʋɑn			regular
31	267	280	երազ	eraz	jɛɾɑz	dream		regular
31	267	280	ես	es	jɛs	I		regular
31	292	305	եմ	em	ɛm	I am		regular
31	305	318	ես	es	ɛs	you are		regular
31	305	318	ենք	enk’	ɛnkʰ	we are		regular
31	305	318	եք	ek’	ɛkʰ	you are		regular
31	305	318	են	en	ɛn	they are		regular
31	344	356	գնալու եմ	gnalu em	gənɑlu‿jɛm	I will go		regular
31	369	382	էշ	ēš	ɛʃ	donkey		regular
31	369	382	էժան	ēžan	ɛʒɑn	cheap		regular
31	369	382	էջ	ēj	ɛdʒ	page		regular
31	382	395	էպոս	ēpos	ɛpɔs	epic		regular
31	382	395	էլեկտրոն	ēlektron	ɛlɛktɾɔn	electron		regular
31	395	408	է	ē	ɛ			regular
32	111	124	ամենաերկար	amena-erkar	ɑmɛnɑjɛɾkʰɑɾ	the longest		deviant
32	111	124	կիսաեզրափակիչ	kisa-ezrap’akič’	kisɑjɛzɾɑpʰɑkitʃʰ			regular
32	124	137	հակաեկեղցական	haka-ekełec’akan	hɑkɑjɛkɛʁɛtsʰɑkɑn	anticlerical		deviant
32	137	150	համաեվրոպական	hama-evropakan	hɑmɑjɛvɾɔpɑkɑn	all-European; pan-european		regular
32	175	188	ապերջանիկ	ap-erĴanik	ɑpɛɾtʃʰɑnik	unhappy		deviant
32	188	201	գետեզերք	get-ezerk’	gɛtɛzɛɾkʰ	river bank, river side		regular
32	201	214	պարերգ	par-erg	pɑɾɛɾkʰ	dance song		deviant
32	307	319	երկու	erku	jɛɾku	two		regular
32	319	332	երեք	erek’	jɛɾɛkʰ			regular
32	319	332	տասներկու	tasnerku	tɑsənɛɾkʰu			deviant
