-ա	suffix	Forming fanciful female given names
-ա-	interfix	an agglutinating interfix
-աբար	suffix	alternative form of -բար (-bar)
-ագին	suffix	alternative form of -գին (-gin)
-ագույն	suffix	alternative form of -գույն (-guyn)
-ալ	suffix	One of two suffixes added to verb stems to form their infinitive, the other being -ել (-el) | One of four suffixes added to verb stems to form their infinitive, the others being -ել (-el), -իլ (-il), and -ուլ (-ul)
-ած	suffix	Appended to the verb stem to form its resultative participle.
-ածո	suffix	Forms nouns and adjectives with the meaning of a consequence of an action.
-ածու	suffix	alternative form of -ածո (-aco)
-ակ	suffix	forming diminutives | forming names of things (tools) or people performing some action | forming names of animals and plants
-ական	suffix	forming adjectives; -ian, -al | forming personified nouns, with the meaning of a follower, profession or doer of something; -ist, -er | forming distributive numerals when affixed to cardinal numbers
-ակերտ	suffix	alternative form of -կերտ (-kert)
-ային	suffix	Forms adjectives.
-ան	suffix	forming nouns and adjectives | instrument-suffix
-ան-	suffix	forming inchoative verbs
-անակ	suffix	Forming nouns.
-անի	suffix	Possessing a quality or thing. | Forming collective nouns.
-անոց	suffix	forming nouns of places, -ery
-անց	suffix	Forming adverbs
-անք	suffix	forming nouns from verbs | collective suffix | forming plural nouns from animate referents (compare -ենք (-enkʻ), -ոնք (-onkʻ), -ունք (-unkʻ))
-ապան	suffix	alternative form of -պան (-pan)
-ապանակ	suffix	alternative form of -պանակ (-panak)
-ապատ	suffix	forming city names after the name of its founder
-ապես	suffix	Forming adverbs. Corresponds to -ly.
-աստան	suffix	alternative form of -ստան (-stan)
-ավետ	suffix	Adjectival suffix.
-ավոր	suffix	Forming names of persons or things, carrying or doing something. | Forming adjectives.
-ավուն	suffix	forming comparatives of adjectives | somewhat, -ish
-ատ	suffix	-less, clipped, cut | Forming names of cutting tools
-արան	suffix	forming nouns of places or containers; -ery, -arium
-արար	suffix	forming agent nouns
-արեն	suffix	alternative form of -երեն (-eren)
-արք	suffix	Forming abstract nouns
-ացի	suffix	alternative form of -ցի (-cʻi)
-ացն-	suffix	Infixed into suffixed verbs ending with -ալ (-al) in infinitive to create their causative version. The verb suffix is replaced by the infix and the infinitive ending changes to -ել (-el).
-ացու	suffix	Destined for, intended for.
-բան	suffix	-logist, -ist
-բար	suffix	Forming adverbs. Corresponds to -ly.
-գին	suffix	forming adjectives and adverbs
-գույն	suffix	an elative suffix
-դ	suffix	a possessive suffix marking 2nd person possession | co-occurs with postpositions in pseudo-possessive meaning identifying the location in the 2nd person | a personal suffix used to refer to the 2nd person as an agent; found in idioms and certain constructions
-ե	suffix	forms adjectives with the meaning of “made or consisting of”; -en
-ել	suffix	One of two suffixes added to verb stems to form their infinitive, the other being -ալ (-al) | One of four suffixes added to verb stems to form their infinitive, the others being -ալ (-al), -իլ (-il), and -ուլ (-ul)
-եղ	suffix	forming adjectives
-եղեն	suffix	forming collective nouns
-են-	suffix	present stem extension found in certain verbs
-ենի	suffix	forming names of trees and shrubs | forming names of furs
-եր	suffix	plural nominative case marker for monosyllabic words
-երեն	suffix	Forms names of languages when appended to roots denoting names of nations or regions | Forms adverbs with the meaning of a language | Forms adjectives with the meaning of a language
-երորդ	suffix	Forming ordinal numbers.
-եցի	suffix	alternative form of -ցի (-cʻi)
-եցն-	suffix	Infixed into verbs ending with -ել (-el) in infinitive to create their causative version.
-ը	suffix	a definite article that assigns definite reference to the noun and is suffixed to the noun’s stem, or to the plural suffix or to the case ending
-ի	suffix	-able | forming botanical names | forming names of tools and utensils | the singular and plural dative case ending of i-declension nouns
-իլ	suffix	One of four suffixes added to verb stems to form their infinitive, the others being -ել (-el), -ալ (-al), and -ուլ (-ul)
-իլիոն	suffix	-illion
-իկ	suffix	forming diminutives or terms expressing affection | forming agent nouns and adjectives
-իչ	suffix	forming agent nouns, -er
-իս	suffix	Appended to the verb to form its second present participle.
-ից	suffix	the singular and plural ablative case ending of nouns of almost all declension types
-իք	suffix	forming abstract nouns
