A	Անունդ [անունտ] ի՞նչ է։	What is your name?	sakayan unit1 dialogue2
B	Անունս Անի է։	My name is Ani.	sakayan unit1 dialogue2
A	Իսկ ազգանո՞ւնդ [ազգանունտ]։	And your family name?	sakayan unit1 dialogue2
B	Մալյան։	Malyan.	sakayan unit1 dialogue2
A	Քանի՞ տարեկան ես։	How old are you?	sakayan unit1 dialogue2
B	Հինգ տարեկան։	5 years old.	sakayan unit1 dialogue2
A	Ձեր հասցեն գիտե՞ս։	Do you know your (plur.) address?	sakayan unit1 dialogue2
B	Կոմիտաս փողոց, երեսուն։	30 Komitas Street.	sakayan unit1 dialogue2
A	Իսկ ձեր հեռախոսի համա՞րը։	And your (plur.) telephone number?	sakayan unit1 dialogue2
B	Քսանութ, հիսունմեկ, տասներկու։	2-8, 5-1, 1-2.	sakayan unit1 dialogue2
A	Ապրե՜ս։ Հիմա կգնանք և կզանգահարենք ձեր տուն։	Good for you! Now we’ll go and phone your home.	sakayan unit1 dialogue2
