քեռի	uncle	sakayan unit10 vocab
փոքրիկ	small	sakayan unit10 vocab
թութակ	parrot	sakayan unit10 vocab
ծերունի	old man	sakayan unit10 vocab
վանդակ	cage	sakayan unit10 vocab
պահել	to keep	sakayan unit10 vocab
ազատ	free	sakayan unit10 vocab
թռչկոտել	to fly around	sakayan unit10 vocab
փախչել	to escape, to flee	sakayan unit10 vocab
կանչել	to call	sakayan unit10 vocab
որտե՞ղ	where?	sakayan unit10 vocab
հարևան	neighbor	sakayan unit10 vocab
անուն	name	sakayan unit10 vocab
բռնել	to catch	sakayan unit10 vocab
գրպան	pocket	sakayan unit10 vocab
դնել	to put, to place	sakayan unit10 vocab
ներս մտնել	to come in	sakayan unit10 vocab
